model,eval_date,gsm8k,winogrande,arc_challenge,hellaswag,truthfulqa
microsoft/DialoGPT-small,2023-12-03T18-22-26.346357,0.0,,,,
microsoft/DialoGPT-medium,2023-12-03T18-15-54.629306,0.0,,,,
huggingtweets/jerma985,2023-09-22T15-13-39.388412,0.0,0.5067087608524072,,,
huggingtweets/bladeecity-jerma985,2023-09-16T19-05-34.186179,0.0,0.5201262825572218,,,
IDEA-CCNL/Ziya-LLaMA-13B-v1,2023-09-18T04-43-18.868497,0.0,0.4956590370955012,,,
IDEA-CCNL/Ziya-LLaMA-13B-Pretrain-v1,2023-12-02T16-26-56.383238,0.0,,,,
Fredithefish/ScarletPajama-3B-HF,2023-10-17T04-53-29.822366,0.002274450341167551,0.6448303078137332,,,
Fredithefish/CrimsonPajama,2023-10-17T20-55-57.055960,0.00530705079605762,0.6519337016574586,,,
Fredithefish/RedPajama-INCITE-Chat-3B-Instruction-Tuning-with-GPT-4,2023-09-28T15-50-00.560199,0.006823351023502654,0.6440410418310971,,,
Fredithefish/RedPajama-INCITE-Chat-3B-ShareGPT-11K,2023-10-12T13-53-46.457193,0.003032600454890068,0.6353591160220995,,,
psyche/kogpt,2023-10-14T16-10-56.600667,0.0,0.4909234411996843,,,
psyche/kollama2-7b,2023-10-14T17-15-12.197275,0.05989385898407885,0.739542225730071,,,
TehVenom/GPT-J-Pyg_PPO-6B,2023-09-17T15-30-49.782386,0.028051554207733132,0.6471981057616417,,,
TehVenom/Pygmalion-13b-Merged,2023-10-22T01-54-40.164227,0.000758150113722517,0.755327545382794,,,
TehVenom/DiffMerge-DollyGPT-Pygmalion,2023-09-17T02-27-34.673978,0.0,0.5382794001578532,,,
TehVenom/GPT-J-Pyg_PPO-6B-Dev-V8p4,2023-10-18T06-55-06.084057,0.018953752843062926,0.6400947119179163,,,
TehVenom/PPO_Shygmalion-V8p4_Dev-6b,2023-10-19T06-04-59.904183,0.02577710386656558,0.6393054459352802,,,
TehVenom/Dolly_Shygmalion-6b-Dev_V8P2,2023-10-12T17-41-38.802429,0.019711902956785442,0.6432517758484609,,,
TehVenom/PPO_Shygmalion-6b,2023-10-18T15-36-21.377959,0.01819560272934041,0.6535122336227308,,,
TehVenom/Metharme-13b-Merged,2023-10-22T04-29-35.620999,0.08718726307808947,0.7679558011049724,,,
TehVenom/PPO_Pygway-V8p4_Dev-6b,2023-10-17T01-37-21.951842,0.026535253980288095,0.6440410418310971,,,
TehVenom/Dolly_Malion-6b,2023-10-15T18-43-13.792642,0.017437452615617893,0.654301499605367,,,
TehVenom/ChanMalion,2023-10-15T12-15-40.310969,0.016679302501895376,0.6535122336227308,,,
TehVenom/Pygmalion_AlpacaLora-7b,2023-10-18T13-29-21.938536,0.012130401819560273,0.7221783741120757,,,
MetaIX/GPT4-X-Alpasta-30b,2023-09-17T08-07-45.972235,0.30477634571645185,0.7821625887924231,,,
